Title,Company,Location,Salary,Job Type,Date Posted,Summary
Fraud Manager,Quidax,Nigeria,,Full-time,PostedPosted 30+ days ago,"Utilise various data analysis and accounting tools in collecting, sorting and analysing transaction data to obtain results which reveal inconsistencies as well…"
Financial Analyst,Primeguage Solutions Limited,Abuja,,Full-time,EmployerActive 7 days ago,"Assembling and summarizing data to structure sophisticated reports on financial status and risks.
Consolidating and analyzing financial data, taking into…"
Revenue Assurance Analyst,Quidax,Nigeria,,Full-time,PostedPosted 30+ days ago,"Assist in the implementation of data stewardship and data governance activities and initiatives as required.
Our vision is to create a world where sending money…"
Reporting Analyst,Dangote Group,Lagos,,Full-time,PostedToday,"Collect and validate data from multiple sources.
Analyze data to identify trends and insights.
Ensure data integrity and accuracy in reporting."
HR Analyst,Lifemate NIgeria LImited,Abeokuta,,Full-time,PostedPosted 11 days ago,"Maintain HR data integrity by ensuring the accuracy of data input.
Manage and master data entry.
Audit HR data and troubleshoot irregularities."
Accounts Receivable Analyst,Cummins,Lagos,,,PostedPosted 15 days ago,"Experience in data analysis and reporting.
We are looking for a talented ACCOUNTS RECEIVABLE ANALYST to join our team specializing in FINANCE for our…"
Internal Audit and Risk Management Analyst,Main One,Lagos,,,PostedPosted 30+ days ago,"Analyze key financial, operational, and compliance-related data.
The Internal Audit & Risk Management Analyst will assist in conducting audits and reviews of…"
BUSINESS ANALYST,GVA Partners,Lagos,,Full-time,EmployerActive 5 days ago,"An ability to visualize data using presentations, diagrams, infographics.
The successful individual will conduct business analysis for new product releases and…"
Chief of Staff & Operations,Shekel Mobility,Lagos,,,PostedPosted 11 days ago,"Knowledge of data analytics, budget management and reporting.
We are seeking a dynamic and strategic Chief of Staff & Operations to work closely with me to…"
Supplier Intelligence Analyst,Eldotec,Kebbi,,Permanent,PostedPosted 30+ days ago,"Solid Excel and data management and analysis skills;
Increase response rates for our clients through analyzing our suppliers data."
Telesales Marketer,VeendHQ,Lagos,,,EmployerActive 15 days ago,"Analyze sales data and performance metrics to identify trends and areas for improvement.
Do you excel in creating and nurturing leads through persuasive…"
Logistics Personnel,NoemDek,Lagos,,Full-time,PostedPosted 8 days ago,"Provide recommendations to management based on data analysis and industry knowledge.
Analyze and evaluate logistical data to identify areas for improvement and…"
"Senior Analyst, Data Architecture - Nigeria",Antal International,Nigeria,,Full-time,PostedPosted 27 days ago,"Responsible for delivery of a blueprint for delivery data related solutions that meet requirements.
Assist in maintaining , supporting and upgrading existing IT…"
Analytics Engineer - Nigeria,Quacquarelli Symonds,Nigeria,,Contract,PostedPosted 30+ days ago,"At least 2+ years of experience as an data engineer, data analyst or similar (Essential).
Strong data engineering/data management capabilities and experience."
Python Data Scientist,Nucleus Health,Lagos,,Contract,EmployerActive 6 days ago,"At least 2 years of relevant experience as a data scientist.
2+ years of data analysis experience and a desire to have a significant impact on the field of…"
Full Stack Developer,Soillight Ltd.,Lagos,,,PostedPosted 20 days ago,"Work with data scientists and analysts to improve software.
Work with development teams and product managers to ideate software solutions."
"Program Associate - Sokoto, Yobe, and Zamfara",,Nigeria,,Contract,PostedPosted 19 days ago,"Support and guide project analysts in the day-to-day execution of assigned tasks;
Facilitate periodic (at least monthly) individual performance reviews and…"
"Analyst III, Business Systems - Coyol",Boston Scientific Corporation,Cross River,,,PostedPosted 11 days ago,"Develop in-depth understanding of business processes, underlying data, data structures, intelligent automation technology, and business uses of data, tools, and…"
Business Analysis Instructor - Nigeria (Remote),Eny Consulting Inc.Felix,Lagos,,Full-time,PostedPosted 30+ days ago,"Business Analysis Instructor - Nigeria (Remote).
The Business Analysis School was founded by Eno Eka, an accountant who successfully transitioned into Business…"
Category Analyst - Consumer Electronics - Jumia (Full Time),Jumia,Lagos,,,PostedPosted 30+ days ago,"2-4 years experience in analyzing large data sets to make strategic decisions.
Understanding all your markets, vendors and customers, bringing valuable insights…"
UI/UX,Don-Clem Technology,Lagos,,,EmployerActive 5 days ago,"Validate designs through data and usability testing.
Work closely with digital product and delivery teams, business analysts, developers, and adjoining teams in…"
Accounts Receivable Analyst,Cummins Inc.,Lagos,,,PostedPosted 15 days ago,"Experience in data analysis and reporting.
We are looking for a talented ACCOUNTS RECEIVABLE ANALYST to join our team specializing in FINANCE for our…"
Financial Analyst,Global PFI,Lagos,,Full-time,PostedPosted 30+ days ago,"Interactively disintermediate empowered data whereas distinctive human capital.
Distinctively fashion standardized communities vis-a-vis seamless applications."
Full Stack Developer,INFINION TECHNOLOGIES LIMITED,Lagos,,,PostedPosted 30+ days ago,"Work with data scientists and analysts to improve software.
We are a customer obsessed organisation that offers transformative technology solutions to…"
Accounts Payable Analyst,Dangote Group,Lagos,,Full-time,PostedToday,"Ensure the timely and accurate processing of Accounts Payable data.
Provide agreed business and compliance reports and analyze data to facilitate business…"
Consolidation and Reporting Analyst,Dangote Group,Lagos,,Full-time,PostedPosted 1 day ago,"Provision of agreed business and compliance reports and data analysis to facilitate decision-making.
Accurate review of General Ledger, maintenance of master…"
Software Engineer,Ibadan Electricity Distribution Company,Oyo,,,PostedPosted 3 days ago,"Working closely with other developers, UX designers, business and systems analysts.
Analysing data to effectively coordinate the installation of new systems or…"
Macroeconomic Strategist,Cordros Capital Limited,Lagos,,,PostedPosted 30+ days ago,"The role is for an analyst who is quantitative, analytical, logical, and good at managing numbers and data.
Required No. of Candidates for the Role."
"Program Associate - Bayelsa, FCT, Kebbi, Katsina",,Nigeria,,Contract,PostedPosted 14 days ago,"Support and guide project analysts in the day-to-day execution of assigned tasks.
Facilitate periodic (at least monthly) individual performance reviews and…"
Procurement Analyst/ Associate,RS Hunter Ltd,Lagos,,,PostedPosted 30+ days ago,"Maintains data information, files, reports, price lists on assigned commodities; negotiates prices and terms.
Prepares all aspects of bids, requests for quotes,…"
FINANCIAL ANALYST,TEAM-ACE LIMITED,Sokoto,"₦300,000 - ₦350,000 a month",Full-time +1,EmployerActive 5 days ago,"Consolidate and analyze financial data, taking into account company’s goals and financial standing.
Reconcile transactions by comparing and correcting data and…"
Financial Analyst,Hiikkys Hair Studio,Lagos,,Full-time,EmployerActive 8 days ago,Strong analytical skills with the ability to interpret complex financial data and provide actionable recommendations.
Dynamics 365 Business Central Business Analyst,ITC WORLDWIDE,Lagos,,,PostedPosted 30+ days ago,"The Functional Business Analyst - Microsoft Dynamics Business Central will serve as a liaison among IT, business partners, product owners, architects, data…"
"Business Analyst, Land Transportation",Dangote Group,Nigeria,,Full-time,PostedPosted 30+ days ago,"Collect and analyze data related to land transportation activities.
Your responsibilities will include collecting and analyzing data related to our land…"
Fleet Analyst,Nigeria Sinotruck Limited,Lagos,,Full-time,PostedPosted 1 day ago,"Competencies in data entry, analysis, and management.
Nigeria Sinotruck Limited is a company in the commercial automotive Industry that is interested in…"
Data Engineer,INFINION TECHNOLOGIES LIMITED,Lagos,,Full-time,PostedPosted 30+ days ago,"Liaise with data scientists and analysts to improve and provide data as required.
Build, optimize, and manage data platforms and Azure data services."
Finance/Operations Analyst,COOLBUCKS LIMITED,Lagos,,,PostedPosted 30+ days ago,"Ability to analyze and interpret financial data.
Banking, Finance & Insurance NGN 150,000 - 250,000.
This is a full-time on-site role for a Finance/Operations…"
Ongoing Recruitment at WTS Energy,WTS Energy,Lagos,,Full-time,PostedPosted 8 days ago,"Analyze well data, including drilling logs, pressure tests, and production data, to optimize well performance and identify opportunities for improvement."
Human Resources (HR) Analyst,Lifemate Nigeria Limited,Ogun,,Full-time,PostedPosted 20 days ago,"Maintain HR data integrity by ensuring the accuracy of data input.
Manage and master data entry.
Create & maintain available data glossary."
Product Manager,The Concept Group,Lagos,,Full-time,EmployerActive 5 days ago,"Must be familiar with data analysis and interpretation.
Pricing analysts are highly analytical and work with complex data from multiple sources to help an…"
T2 Planning Analyst,AB InBev,Nigeria,,Full-time,PostedPosted 25 days ago,Collaborate with the CXC core supervisor and Depots/Plants to set-up & maintain inter-related system platforms and master data maintained in SAP system and used…
Supply Chain Analyst,Elvaridah,Lagos,,Full-time,PostedPosted 14 days ago,"Utilize data analytics tools to extract insights, identify trends, and make data-driven decisions in procurement and finance activities."
Analyst - Network Business Performance,MTN Group,Lagos,,,PostedPosted 29 days ago,Reports To: Manager - Network Business Performance Division: Network Mission: To provide network analytics and insights to Network Group functions and other…
Full Stack Developer,E-direct.ng Essential Nigeria Limited,Lagos,,,PostedPosted 30+ days ago,"Work with data scientists and analysts to improve software.
Create security and data protection settings.
The Full Stack Developers work in the IT department of…"
"Finance Business Analyst, DCT",Dangote Industries Limited,Nigeria,,Full-time,PostedPosted 18 days ago,"As a Financial business analyst, you will play a key role in analyzing financial data, identifying trends, and providing insights to drive informed business…"
Recovery Officer,Wakacredit Limited,Lagos,,,PostedPosted 30+ days ago,"Numerically savvy, able to work with data, perform analysis and communicate result.
At least 5 years’ experience in commercial lending / process analyst or…"
Software Developer,Jobberman (Third Party Recruitment),Lagos,,,PostedPosted 19 days ago,"Work closely with cross-functional teams, including project managers, business analysts, and quality assurance professionals, to ensure seamless integration of…"
GPON Deployment Supervisor- Fibre Projects,IPNX NIGERIA LIMITED,Lagos,,,EmployerActive 6 days ago,"Provide daily project work plan and activity reports to team lead/data analyst, every day, throughout the duration of the project."
Consulting Sector Analyst,ILF Consulting Engineers,Lagos,,,PostedPosted 30+ days ago,"Develop and maintain comprehensive databases and models to facilitate data analysis and modeling.
Proven experience minimum of 2 years as an analyst in the…"
Finance Operations Analyst (Beauty Brand),Talentsquare,Yaba,,Permanent,PostedPosted 30+ days ago,"Advanced data analysis with proficiency in Excel and other spreadsheet tools.
Strong analytical skills with the ability to interpret complex data and…"
"Supply Chain Operations Analyst, Apapa",Dangote Group,Lagos,,,PostedPosted 9 days ago,"Excellent attention to detail and comfortably pivots into complex strategy discussions informed by data and research.
Proficiency in the use of MS Office tools."
Business Continuity Management Analyst,Main One,Lagos,,Permanent,PostedPosted 30+ days ago,"Ensure the company’s data, data systems, infrastructure and networks are recoverable in the event of a disaster.
Minimum years of Experience: 6."
Business Analyst (Cement),Dangote Group,Lagos,,,PostedPosted 30+ days ago,"Collaborate with cross-functional teams to gather and interpret data.
Analyze operational data and identify trends and opportunities for optimization."
Ongoing Recruitment at Food Concepts Plc,Food Concepts Plc,Lagos,,,PostedPosted 20 days ago,"High proficiency in data entry techniques.
Strong analytical and data gathering skills.
Type in data provided directly from customers."
Senior Credit analyst,TechnoServe,Abuja,,Full-time,PostedPosted 29 days ago,"Job Title: Senior Credit analyst.
Reporting to the Capital Investment Lead, the Senior Credit analyst will be responsible for the collection of financial…"
OFFICE ADMINISTRATOR/CUSTOMER RELATIONSHIP OFFICER -Ilupeju,West Africa Vocational Education (WAVE),Lagos,"₦60,000 - ₦80,000 a month",Full-time,PostedPosted 27 days ago,"3.Study past sales data to determine trends in productivity.
1.Collect data from sales reports for analysis.
We are looking for a Sales Analyst to join our team…"
Lead Data Analyst,Adker Recruit,Lagos,,Permanent,PostedPosted 30+ days ago,Lead point of contact and subject matter expert for obtaining all data aspects of company data and needs assessment – design the mining of information and…
FInancial/Business Analyst,RS Hunter Ltd,Lagos,,Full-time,PostedPosted 30+ days ago,"Analyze financial data to identify trends, opportunities, and potential risks.
Create data-driven reports and visualizations to support decision-makers."
